SoldPrice;Type;YearBuilt;Area;Zip;Baths;Beds;GarageType;GarageSpaces;ParkingSpaces
324900;1 Story;1956;76;60076;2;3;None;0;0
325000;1 Story;1955;76;60076;2;3;None;0;0
350000;Split Level;1957;76;60076;2;4;None;0;0
375000;Split Level;1957;76;60076;3;4;None;0;0
70000;Quad-2 Story;1954;76;60077;1;2;None;0;0
95000;Condo, Low Rise (1-3 Stories);1960;76;60077;1;1;None;0;0
139000;Condo;1925;76;60077;2;2;None;0;0
140000;Condo;1956;76;60077;1;2;None;0;0
150000;Condo, Mid Rise (4-6 Stories);1928;76;60077;2;2;None;0;0
225000;Condo, Condo-Duplex;UNK;76;60077;3;3;None;0;0
225000;Condo-Duplex;UNK;76;60077;3;3;None;0;0
147000;Condo;1950;76;60076;1;2;None;0;1
60500;Condo, Studio;1960;76;60077;1;0;None;0;1
98786;Condo;1955;76;60077;1;1;None;0;1
85000;Condo;1969;76;60077;1;1;None;0;1
90000;Condo, Low Rise (1-3 Stories);1960;76;60077;1;1;None;0;1
112000;Condo;1960;76;60076;1;1;None;0;1
101000;Condo, Low Rise (1-3 Stories);1955;76;60077;1;1;None;0;1
102000;Condo;UNK;76;60077;1;1;None;0;1
103000;Condo;1968;76;60077;1;1;None;0;1
210000;Condo;2006;76;60077;1;1;Attached;1;0
135000;Condo;1953;76;60077;1;2;Detached;1;0
117000;Low Rise (1-3 Stories);1960;76;60076;1;1;None;0;1
125900;Condo;1968;76;60077;1;1;None;0;1
105000;Low Rise (1-3 Stories);1962;76;60077;1;2;None;0;1
105000;Condo;1958;76;60077;1;1;None;0;1
110000;Low Rise (1-3 Stories);1960;76;60076;1;1;None;0;1
125000;Condo;1952;76;60077;1;2;None;0;1
129500;Condo;1962;76;60077;1;2;None;0;1
138000;Condo;1952;76;60077;1;2;None;0;1
139000;Condo;1957;76;60077;1;2;None;0;1
118000;Condo;1956;76;60076;1;2;None;0;0
209000;Condo, High Rise (7+ Stories);2006;76;60077;1;1;Attached;1;0
215000;Condo;2008;76;60077;1;1;Attached;1;0
120000;Condo;1969;76;60077;1;1;None;0;1
134900;Condo;1957;76;60077;1;2;None;0;1
135000;Condo;UNK;76;60077;1;2;None;0;1
147000;Condo;1957;76;60077;1;2;None;0;1
122000;Condo;1984;76;60077;1;1;Attached;1;0
225000;Split Level;1955;76;60077;2;2;Detached;2;0
88500;Condo;1957;76;60077;1;2;None;0;1
95000;Low Rise (1-3 Stories);1966;76;60076;1;1;None;0;1
114900;Condo;UNK;76;60077;1;1;None;0;1
147000;Condo;1960;76;60077;2;2;None;0;1
185000;Townhouse-2 Story;1959;76;60076;1;2;None;0;1
192500;Condo;1976;76;60077;1;2;None;0;1
125000;Condo;1952;76;60076;1;2;None;0;0
132551;Condo;UNK;76;60077;1;2;None;0;0
140000;Condo;1977;76;60077;1;2;None;0;0
262000;1 Story;1956;76;60076;2;3;Detached;02.maj;0
198000;1 Story;1951;76;60076;1;2;Detached;1;0
145000;Condo;1961;76;60077;1;2;None;0;1
105000;Condo;1970;76;60077;1;1;None;0;1
266000;1 Story;1951;76;60077;2;2;Attached;1;0
257500;1 Story;1950;76;60076;1;2;Detached;2;0
251000;1 Story;1955;76;60076;1;2;None;0;2
262500;Split Level;1951;76;60077;1;2;Detached;1;1
140000;Condo;UNK;76;60077;1;2;None;0;1
280000;1 Story;1952;76;60076;2;2;Detached;1;0
97000;Condo;1968;76;60077;1;1;None;0;0
99500;Condo, Mid Rise (4-6 Stories);1968;76;60077;1;1;None;0;1
95000;Condo;1960;76;60077;1;1;None;0;0
240000;1 Story;1957;76;60076;2;3;Detached;2;0
139500;Low Rise (1-3 Stories);1965;76;60077;1;2;None;0;1
227500;Condo;2007;76;60077;1;1;Attached;1;0
180000;1 Story;1956;76;60077;2;2;Detached;2;0
155000;Condo;2000;76;60076;1;1;Attached;1;0
172000;Condo, Mid Rise (4-6 Stories);2002;76;60076;1;1;Attached;1;0
170000;Condo;2004;76;60077;1;1;Attached;1;0
180000;Condo;2004;76;60077;1;1;Attached;1;0
217500;Condo;2007;76;60077;1;1;Attached;1;0
250000;1 Story;1952;76;60076;1;2;Detached;2;0
260000;1 Story;1952;76;60076;1;2;Detached;2;0
305000;1 Story;1954;76;60076;2;3;Detached;2;0
255000;Other;1953;76;60077;1;3;Detached;2;0
188000;1 Story;1938;76;60076;1;2;Detached;2;0
210000;1 Story;1954;76;60077;1;3;Detached;1;0
145000;Condo;1976;76;60077;1;1;None;0;1
137000;Condo;1976;76;60077;1;1;Attached;1;1
119900;Condo;1966;76;60077;1;1;Attached;1;0
127500;Condo;1972;76;60077;1;1;Attached;1;0
130000;Condo;1976;76;60077;1;1;Attached;1;0
135000;Condo;1976;76;60077;1;1;Attached;1;0
135000;Condo;1975;76;60077;1;1;Attached;1;0
140000;Condo;1975;76;60076;1;1;Attached;1;0
140000;Condo, Low Rise (1-3 Stories), Mid Rise (4-6 Stories);1975;76;60077;1;1;Attached;1;0
160000;Condo;1976;76;60077;1;1;Attached;1;0
161000;Condo, Mid Rise (4-6 Stories);1972;76;60077;1;1;Attached;1;0
161000;Condo;1976;76;60077;1;1;Attached;1;0
265000;Condo, High Rise (7+ Stories);2008;76;60077;1;1;Attached;1;0
282000;1 Story;1957;76;60077;1;3;Detached;2;3
180000;2 Stories;1954;76;60076;1;3;Detached;2;0
225000;1 Story;1957;76;60077;1;3;Detached;1;0
225000;1 Story;1955;76;60076;1;3;Detached;2;0
240000;Split Level;1951;76;60076;1;3;Detached;2;0
250000;1 Story;1954;76;60077;1;3;Detached;2;0
265000;1 Story;1954;76;60077;2;3;Detached;2;0
270000;1 Story;1957;76;60077;2;3;Detached;2;0
287000;1 Story;1956;76;60076;2;3;Detached;2;0
288000;1 Story;1956;76;60076;1;2;Detached;2;0
115500;Condo;1976;76;60077;1;1;None;0;1
